text,drug,effect,indexes,label
A 51-year-old man developed type 1 diabetes mellitus following 24 weeks of treatment with recombinant alpha-2b peginterferon plus ribavirin for chronic hepatitis C.,ribavirin,hepatitis,0,0
Laryngeal dyspnea in relation to an interaction between acenocoumarol and topical econazole lotion.,acenocoumarol,interaction,0,0
Late development of diabetes mellitus after interferon-alfa and ribavirin therapy for chronic hepatitis C: a case report.,ribavirin,hepatitis,0,0
"Uveitis during treatment of disseminated Mycobacterium avium-intracellulare complex infection with the combination of rifabutin, clarithromycin and ethambutol.",clarithromycin,infection,0,0
"Since ethambutol is actively excreted via the renal system, compromise of renal function such as due to renal tuberculosis may lead to serum concentration elevations of ethambutol sufficient to produce optic neuropathy.",lead,tuberculosis,0,0
"Less common adverse events to dapsone include the idiosyncratic reactions of leukopenia and agranulocytosis, cutaneous eruptions, peripheral neuropathy, psychosis, toxic hepatitis, cholestatic jaundice, nephrotic syndrome, renal papillary necrosis, severe hypoalbuminemia without proteinuria, an infectious mononucleosis-like syndrome, and minor neurological and gastrointestinal complaints.",dapsone,renal papillary necrosis,"{'drug': {'start_char': array([30], dtype=int32), 'end_char': array([37], dtype=int32)}, 'effect': {'start_char': array([223], dtype=int32), 'end_char': array([247], dtype=int32)}}",1
The hearing impairment and tinnitus were gradually reduced after PTU withdrawal and corticosteroid and azathioprine treatment.,corticosteroid,tinnitus,0,0
Two of the five patients who worsened motorically also developed encephalopathy during risperidone treatment; the encephalopathy resolved when the patients were switched to clozapine treatment.,clozapine,encephalopathy,0,0
"We describe a patient with rheumatoid arthritis treated with gold salts, who developed bilateral interstitial pulmonary abnormalities and showed a dramatic response on corticosteroid therapy.",gold,bilateral interstitial pulmonary abnormalities,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([87], dtype=int32), 'end_char': array([133], dtype=int32)}}",1
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",TMP,cervical lymphadenopathy,"{'drug': {'start_char': array([273], dtype=int32), 'end_char': array([276], dtype=int32)}, 'effect': {'start_char': array([146], dtype=int32), 'end_char': array([170], dtype=int32)}}",1
"BACKGROUND: To assess the nature, incidence, and risk factors of retinopathy associated with pegylated interferon and ribavirin combination therapy in chronic hepatitis C patients.",interferon,hepatitis,0,0
Mycophenolate mofetil-induced neutropenia in liver transplantation.,Mycophenolate mofetil,neutropenia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([21], dtype=int32)}, 'effect': {'start_char': array([30], dtype=int32), 'end_char': array([41], dtype=int32)}}",1
Serotonin syndrome caused by interaction between citalopram and fentanyl.,fentanyl,interaction,0,0
"DISCUSSION: After exclusion of other causes, the onset of thrombocytopenia after administration of lansoprazole, the resolution of the adverse reaction after discontinuation of the drug, and the fact that no other medicines were introduced during this time frame lead us to believe that this was most likely an idiosyncratic thrombocytopenic response to lansoprazole.",lead,thrombocytopenic,0,0
Intrahepatic cholestasis and cutaneous bullae associated with glibenclamide therapy are described in a 61-year-old diabetic patient who presented wit hypoglycaemic coma.,glibenclamide,cutaneous bullae,"{'drug': {'start_char': array([62], dtype=int32), 'end_char': array([75], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([45], dtype=int32)}}",1
"Musculoskeletal complaints were the presenting symptoms in four of 44 children (9%) treated for relapsed Wilms' tumors with ifosfamide, a derivative of cyclophosphamide.",cyclophosphamide,ifosfamide,0,0
She developed neurotoxicity with an adjustment dosage of valacyclovir for a cutaneous zoster infection.,valacyclovir,neurotoxicity,"{'drug': {'start_char': array([57], dtype=int32), 'end_char': array([69], dtype=int32)}, 'effect': {'start_char': array([14], dtype=int32), 'end_char': array([27], dtype=int32)}}",1
Fatal interstitial pneumonitis associated with docetaxel administration in a patient with hormone-refractory prostate cancer.,docetaxel,Fatal interstitial pneumonitis,"{'drug': {'start_char': array([47], dtype=int32), 'end_char': array([56], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([30], dtype=int32)}}",1
Fulminant hepatic failure developed in a 24-year-old black woman who had been treated with propylthiouracil and propranolol for hyperthyroidism.,propranolol,hyperthyroidism,0,0
Acute renal failure most likely was secondary to the nephrotoxic effect of captopril on chronically hypoperfused kidneys.,captopril,Acute renal failure,"{'drug': {'start_char': array([75], dtype=int32), 'end_char': array([84], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([19], dtype=int32)}}",1
A patient with seropositive rheumatoid arthritis developed ascites while taking weekly doses of methotrexate (MTX).,methotrexate,arthritis,0,0
This case demonstrates the association of selective IgA deficiency with remission in rheumatoid arthritis induced by fenclofenac as well as aurothiomalate and sulphasalazine.,fenclofenac,arthritis,0,0
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.,ribavirin,hepatitis,0,0
Autoimmune thyroid disease is a common side-effect of interferon-alpha (IFN-alpha) treatment of viral hepatitis C.,interferon,hepatitis,0,0
"We report a case of amiodarone-induced thyrotoxicosis of protracted duration, unresponsive to conventional thionamide therapy, with therapy limited by severe adverse drug reactions.",thionamide,unresponsive,0,0
"The pharmaceutical company producing Halfan has reported 8 cardiac arrests, leading to 6 deaths, when a higher dose than recommended was used, there was recent or concomitant treatment with mefloquine, there was pre-existing prolongation of the QT interval or the patient had a thiamine deficiency.",mefloquine,deaths,"{'drug': {'start_char': array([190], dtype=int32), 'end_char': array([200], dtype=int32)}, 'effect': {'start_char': array([89], dtype=int32), 'end_char': array([95], dtype=int32)}}",1
"A sixty-year-old woman with advanced breast cancer, previously treated with cisplatin, developed an irreversible lethal renal failure with anuria, the day after 5 g/m2 bolus ifosfamide.",cisplatin,ifosfamide,0,0
"We strongly suspect that this lethal anuria was mainly due to ifosfamide, occurring in a patient having received previous cisplatin chemotherapy and with poor kidney perfusion due to transient hypotension.",cisplatin,hypotension,0,0
A 61-year-old man with early diffuse cutaneous scleroderma with myositis and progressive interstitial pneumonia developed generalized erythema with high fever 3 weeks after taking sulfamethoxazole/trimethoprim.,trimethoprim,pneumonia,0,0
Isoniazid and ethambutol as a cause of optic neuropathy.,ethambutol,optic neuropathy,"{'drug': {'start_char': array([14], dtype=int32), 'end_char': array([24], dtype=int32)}, 'effect': {'start_char': array([39], dtype=int32), 'end_char': array([55], dtype=int32)}}",1
The authors describe a case of valvular heart disease in a 48-year-old woman receiving benfluorex (150 mg t.i.d. for 8 years) and leading to surgical mitral valve replacement.,benfluorex,valvular heart disease,"{'drug': {'start_char': array([87], dtype=int32), 'end_char': array([97], dtype=int32)}, 'effect': {'start_char': array([31], dtype=int32), 'end_char': array([53], dtype=int32)}}",1
"Posterior leukoencephalopathy following cisplatin, bleomycin and vinblastine therapy for germ cell tumor of the ovary.",vinblastine,Posterior leukoencephalopathy,"{'drug': {'start_char': array([65], dtype=int32), 'end_char': array([76], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([29], dtype=int32)}}",1
"We report an additional case of isotretinoin teratogenicity in which the patient had agenesis of the cerebellar vermis, multiple leptomeningeal neuroglial heterotopias, hydrocephalus, and abnormalities of the corticospinal tracts.",isotretinoin,teratogenicity,"{'drug': {'start_char': array([32], dtype=int32), 'end_char': array([44], dtype=int32)}, 'effect': {'start_char': array([45], dtype=int32), 'end_char': array([59], dtype=int32)}}",1
We report four cases of encephalopathy coincident with elevated aluminum levels as well as one patient who developed seizures while receiving continuous bladder irrigations with alum.,aluminum,encephalopathy,0,0
Probable enoxaparin-induced hepatotoxicity.,enoxaparin,hepatotoxicity,"{'drug': {'start_char': array([9], dtype=int32), 'end_char': array([19], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([42], dtype=int32)}}",1
"Uveitis during treatment of disseminated Mycobacterium avium-intracellulare complex infection with the combination of rifabutin, clarithromycin and ethambutol.",rifabutin,infection,0,0
"METHODS: A patient who developed dramatic, permanent vision loss after a 9-month course of treatment with ethambutol and isoniazid for pulmonary tuberculosis is presented.",isoniazid,tuberculosis,0,0
"Herein, we describe a patient with AIDS who presented to medical attention with pancytopenia 48 months postchemotherapy with etoposide, prednisone, vincristine, cyclophosphamide, doxorubicin, and rituximab (R-EPOCH) for diffuse large B-cell lymphoma.",cyclophosphamide,lymphoma,0,0
Upper gastrointestinal haemorrhage is a serious complication of aspirin and clopidogrel (dual) anti-platelet therapy with a high morbidity and mortality.,clopidogrel,morbidity,0,0
Ulcer became worse after tobramycin and gentamycin treatment for 2 days.,gentamycin,Ulcer became worse,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([50], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([18], dtype=int32)}}",1
Severe apnea in an infant exposed to lamotrigine in breast milk.,lamotrigine,Severe apnea,"{'drug': {'start_char': array([37], dtype=int32), 'end_char': array([48], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}}",1
"A patient with psoriasis is described who had an abnormal response to the glucose tolerance test without other evidence of diabetes and then developed postprandial hyperglycemia and glycosuria during a period of topical administration of a corticosteroid cream, halcinonide cream 0.1%, under occlusion.",corticosteroid,psoriasis,0,0
We report a case of a patient with mild chronic renal insufficiency who had been taking simvastatin for over a year and developed acute weakness within 3 weeks after the start of treatment with colchicine for acute gouty bursitis.,colchicine,bursitis,0,0
Clozapine-induced tardive dyskinesia in schizophrenic patients taking clozapine as a first-line antipsychotic drug.,Clozapine,tardive dyskinesia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([18], dtype=int32), 'end_char': array([36], dtype=int32)}}",1
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",ribavirin,hepatitis,0,0
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,naproxen,arthritis,0,0
"METHODS: Five cases of contact dermatitis due to budesonide, a nonhalogenated steroid, are described.",budesonide,contact dermatitis,"{'drug': {'start_char': array([49], dtype=int32), 'end_char': array([59], dtype=int32)}, 'effect': {'start_char': array([23], dtype=int32), 'end_char': array([41], dtype=int32)}}",1
Late development of diabetes mellitus after interferon-alfa and ribavirin therapy for chronic hepatitis C: a case report.,interferon,hepatitis,0,0
"DIAGNOSIS: Severe temozolomide-induced immunosuppression, exacerbated by corticosteroids, with profound T-cell lymphocytopenia and simultaneous opportunistic infections with Pneumocystis jiroveci pneumonia, brain abscess with Listeria monocytogenes, and cutaneous Kaposi's sarcoma.",corticosteroids,immunosuppression,0,0
"A case of skeletal fluorosis induced by prolonged treatment with niflumic acid, a fast-acting non-steroid antiinflammatory agent, is reported in a 35-year-old woman suffering from rheumatoid arthritis and treated, in addition, with corticosteroids.",corticosteroids,arthritis,0,0
We report a case of Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) secondary to trimethoprim-sulfamethoxazole (TMP-Sx) therapy for presumed community-associated methicillin-resistant Staphylococcus aureus (CA-MRSA) infection.,trimethoprim,infection,0,0
"Although myelosuppression is mild, immunosuppression and superinfection are potential hazards of treatment with DCF.",DCF,superinfection,"{'drug': {'start_char': array([112], dtype=int32), 'end_char': array([115], dtype=int32)}, 'effect': {'start_char': array([57], dtype=int32), 'end_char': array([71], dtype=int32)}}",1
"We report one case of non-Hodgkin lymphoma in a patient, with a 30-year history of rheumatoid arthritis, taking low dose methotrexate weekly over a 10-month period.",methotrexate,non-Hodgkin lymphoma,"{'drug': {'start_char': array([121], dtype=int32), 'end_char': array([133], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([42], dtype=int32)}}",1
A 17-year-old boy with refractory psoriatic arthritis and alpha-1 antitrypsin deficiency who developed a syringotropic hypersensitivity reaction after 9 months of therapy with infliximab and leflunomide is described.,infliximab,syringotropic hypersensitivity reaction,"{'drug': {'start_char': array([176], dtype=int32), 'end_char': array([186], dtype=int32)}, 'effect': {'start_char': array([105], dtype=int32), 'end_char': array([144], dtype=int32)}}",1
"We strongly suspect that this lethal anuria was mainly due to ifosfamide, occurring in a patient having received previous cisplatin chemotherapy and with poor kidney perfusion due to transient hypotension.",cisplatin,ifosfamide,0,0
"Hyperkalaemia with renal tubular dysfunction by oral therapy of sulfamethoxazole-trimethoprim (co-trimoxazole) is described in 2 elderly Japanese patients with lymphoid malignancy, who developed Pneumocystis carinii pneumonia and improved.",sulfamethoxazole,pneumonia,0,0
Retinopathy in hepatitis C patients due to combination therapy with pegylated interferon and ribavirin.,interferon,hepatitis,0,0
"However, in 1993, a clinical study involving 400 patients on the Thai-Burmese border revealed cardiac effects of antimalarial treatment with halofantrine, including one sudden death after the treatment.",halofantrine,sudden death,"{'drug': {'start_char': array([141], dtype=int32), 'end_char': array([153], dtype=int32)}, 'effect': {'start_char': array([169], dtype=int32), 'end_char': array([181], dtype=int32)}}",1
New onset of Crohn's disease during treatment of active ankylosing spondylitis with etanercept.,etanercept,Crohn's disease,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([94], dtype=int32)}, 'effect': {'start_char': array([13], dtype=int32), 'end_char': array([28], dtype=int32)}}",1
Prenatal cytomegalovirus (CMV) infection associated with severe brain damage was detected in an infant whose mother had been treated with prednisolone and azathioprine for systemic lupus erythematosus (SLE).,azathioprine,lupus,0,0
Two patients with extrinsic asthma and coexistent insulin-dependent diabetes mellitus sustained an anaphylactoid reaction after the intravenous administration of 50% solution of dextrose.,insulin,asthma,0,0
Anterior ischemic optic neuropathy secondary to interferon alfa.,interferon alfa,Anterior ischemic optic neuropathy,"{'drug': {'start_char': array([48], dtype=int32), 'end_char': array([63], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([34], dtype=int32)}}",1
Clinicians have been aware of lithium toxicity for many years and traditionally have administered thiazide diuretics for lithium-induced polyuria and nephrogenic diabetes insipidus.,thiazide,diabetes,0,0
We suggest discontinuing gemcitabine if radiation recall is observed.,gemcitabine,radiation recall,"{'drug': {'start_char': array([25], dtype=int32), 'end_char': array([36], dtype=int32)}, 'effect': {'start_char': array([40], dtype=int32), 'end_char': array([56], dtype=int32)}}",1
"This case underscores problems in clinical management with sulfadiazine hypersensitivity, potential immunosuppression from corticosteroids and selection of medications for recurrences of toxoplasmic chorioretinitis.",corticosteroids,immunosuppression,0,0
Mammary gigantism is a rare complication of D-penicillamine treatment.,D-penicillamine,Mammary gigantism,"{'drug': {'start_char': array([44], dtype=int32), 'end_char': array([59], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([17], dtype=int32)}}",1
CONCLUSIONS: This case describes the clinically significant increase of INR in an elderly patient after adding a chemotherapy regimen of levamisole and 5-FU to a previous regimen of warfarin alone.,warfarin,increase of INR,"{'drug': {'start_char': array([182], dtype=int32), 'end_char': array([190], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([75], dtype=int32)}}",1
"Presented is a case story of a woman with classical rheumatoid arthritis, who during introduction of sulphasalazine (SASP) therapy developed a severe and lasting psoriasis-like skin reaction.",sulphasalazine,arthritis,0,0
"In two of these cases akathisia resolved after withdrawal of olanzapine and substitution by a classical or an atypical neuroleptic agent, respectively.",olanzapine,akathisia,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([31], dtype=int32)}}",1
Relapse in the external auditory canal of acute promyelocytic leukemia after treatment with all-trans retinoic acid.,all-trans retinoic acid,Relapse in the external auditory canal of acute promyelocytic leukemia,"{'drug': {'start_char': array([92], dtype=int32), 'end_char': array([115], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([70], dtype=int32)}}",1
Syringotropic hypersensitivity reaction associated with infliximab and leflunomide combination therapy in a child with psoriatic arthritis.,infliximab,arthritis,0,0
CONCLUSION: This report describes a case of a probable interaction between topical econazole lotion 1% and acenocoumarol that resulted in overanticoagulation and a life-threatening laryngeal hematoma in this elderly patient.,econazole,interaction,0,0
OBJECTIVE: To report the case of a young woman with Graves' disease in whom ototoxicity developed because of propylthiouracil (PTU)-induced antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis.,PTU,ototoxicity,"{'drug': {'start_char': array([127], dtype=int32), 'end_char': array([130], dtype=int32)}, 'effect': {'start_char': array([76], dtype=int32), 'end_char': array([87], dtype=int32)}}",1
The authors describe a case of the catatonia syndrome associated with disulfiram therapy.,disulfiram,catatonia syndrome,"{'drug': {'start_char': array([70], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([35], dtype=int32), 'end_char': array([53], dtype=int32)}}",1
"We present a case of acute epinephrine toxicity resulting in acute myocardial ischemia in a young boy with combined variable immunodeficiency syndrome who developed severe allergic reaction to intravenous immunoglobulin, and was subsequently given epinephrine by mistake intravenously rather than subcutaneously.",immunoglobulin,immunodeficiency,0,0
"Although this combination agent has been associated with a hypersensitivity syndrome involving cutaneous skin eruptions, pediatric cases of TMP-SMX-induced hepatotoxicity are rare.",TMP-SMX,cutaneous skin eruptions,"{'drug': {'start_char': array([140], dtype=int32), 'end_char': array([147], dtype=int32)}, 'effect': {'start_char': array([95], dtype=int32), 'end_char': array([119], dtype=int32)}}",1
Simvastatin-induced rhabdomyolysis following cyclosporine treatment for uveitis.,cyclosporine,uveitis,0,0
The development of systemic lupus erythematosus (SLE) after 38 months of therapy with recombinant human interferon gamma (rIFN-gamma) was observed in a patient with rheumatoid arthritis.,interferon,arthritis,0,0
"A 62-year-old woman who was being treated for squamous cell carcinoma of the head and neck developed a chemotherapy-related hemolytic-uremic syndrome during the second cycle of neoadjuvant chemotherapy consisting of cisplatin, bleomycin, and methotrexate.",methotrexate,carcinoma,0,0
It should be recognized that ibuprofen may be associated with salt and water retention in the same fashion as previously described with phenylbutazone and indomethacin.,ibuprofen,salt and water retention,"{'drug': {'start_char': array([29], dtype=int32), 'end_char': array([38], dtype=int32)}, 'effect': {'start_char': array([62], dtype=int32), 'end_char': array([86], dtype=int32)}}",1
"We report 3 patients with severe hepatocellular damage due to CPA therapy, 2 with fatal fulminant hepatitis.",CPA,fatal fulminant hepatitis,"{'drug': {'start_char': array([62], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([82], dtype=int32), 'end_char': array([107], dtype=int32)}}",1
"Although major hazards of treatment of hypophosphatemic osteomalacia with phosphate and calcitriol are secondary hyperparathyroidism and vitamin D intoxication, potassium loss also should be kept in mind.",phosphate,osteomalacia,0,0
"We report a case of amiodarone-induced thyrotoxicosis of protracted duration, unresponsive to conventional thionamide therapy, with therapy limited by severe adverse drug reactions.",amiodarone,thyrotoxicosis,"{'drug': {'start_char': array([20], dtype=int32), 'end_char': array([30], dtype=int32)}, 'effect': {'start_char': array([39], dtype=int32), 'end_char': array([53], dtype=int32)}}",1
Zolpidem tissue concentrations in a multiple drug related death involving Ambien.,Ambien,death,"{'drug': {'start_char': array([74], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([58], dtype=int32), 'end_char': array([63], dtype=int32)}}",1
"OBJECTIVE: To report a case of serotonin syndrome associated with interaction between fentanyl and citalopram, as evidenced by medication history, clinical features and reversal following discontinuation of fentanyl.",citalopram,interaction,0,0
"A 36-year-old man being treated with cisplatinum, vinblastine, and bleomycin for testicular carcinoma developed a dense left homonymous hemianopsia, encephalopathy, and a partial nondominant parietal lobe syndrome.",cisplatinum,carcinoma,0,0
A 65-year-old woman with bipolar disorder and complicated cardiovascular disease who was on maintenance lithium therapy developed a movement disorder following high doses of trazodone for treatment of an acute depression.,trazodone,depression,0,0
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",trimethoprim,pneumonia,0,0
Parenteral-verapamil-induced sustained hypotension.,verapamil,sustained hypotension,"{'drug': {'start_char': array([11], dtype=int32), 'end_char': array([20], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([50], dtype=int32)}}",1
We report 5 patients (3 patients with chronic hepatitis C treated with pegylated interferon alfa-2b in association with oral ribavirin and two patients with chronic myelocytic leukemia) who developed local cutaneous reactions at sites of injection after the administration of weekly subcutaneous injections of pegylated interferon alfa-2b at different doses.,interferon,hepatitis,0,0
We report a case of interstitial pulmonary disease that occurred together with lymphocytic colitis during treatment with ticlopidine.,ticlopidine,interstitial pulmonary disease,"{'drug': {'start_char': array([121], dtype=int32), 'end_char': array([132], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([50], dtype=int32)}}",1
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,CP,multiple congenital anomalies,"{'drug': {'start_char': array([ 65, 141], dtype=int32), 'end_char': array([ 67, 143], dtype=int32)}, 'effect': {'start_char': array([82], dtype=int32), 'end_char': array([111], dtype=int32)}}",1
Neutropenic colitis during standard dose combination chemotherapy with nedaplatin and irinotecan for testicular cancer.,irinotecan,Neutropenic colitis,"{'drug': {'start_char': array([86], dtype=int32), 'end_char': array([96], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([19], dtype=int32)}}",1
"Three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with folinic acid rescue, resulted in the 'phosphate shower syndrome' (hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment) are described.",folinic acid,metabolic acidosis,"{'drug': {'start_char': array([102], dtype=int32), 'end_char': array([114], dtype=int32)}, 'effect': {'start_char': array([258], dtype=int32), 'end_char': array([276], dtype=int32)}}",1
"A 62-year-old woman who was being treated for squamous cell carcinoma of the head and neck developed a chemotherapy-related hemolytic-uremic syndrome during the second cycle of neoadjuvant chemotherapy consisting of cisplatin, bleomycin, and methotrexate.",bleomycin,hemolytic-uremic syndrome,"{'drug': {'start_char': array([227], dtype=int32), 'end_char': array([236], dtype=int32)}, 'effect': {'start_char': array([124], dtype=int32), 'end_char': array([149], dtype=int32)}}",1
"This profile should trigger a ""red flag"" as to the possibility of phenobarbital behavioral side effects or exacerbation of preexisting maladaptive behaviors.",phenobarbital,exacerbation of preexisting maladaptive behaviors,"{'drug': {'start_char': array([66], dtype=int32), 'end_char': array([79], dtype=int32)}, 'effect': {'start_char': array([107], dtype=int32), 'end_char': array([156], dtype=int32)}}",1
"However, given the clinically significant result to the interaction between tolazoline and cimetidine we report, the use of cimetidine in tolazoline induced upper gastrointestinal hemorrhage should deserve more attention.",cimetidine,interaction,0,0
"In a postural challenge test after administration of isosorbide dinitrate (5 mg), blood pressure decreased from 120/67 to 65/35 mmHg, followed by syncope with a sudden decrease in pulse rate from 85 to 60 beats/min.",isosorbide dinitrate,blood pressure decreased,"{'drug': {'start_char': array([53], dtype=int32), 'end_char': array([73], dtype=int32)}, 'effect': {'start_char': array([82], dtype=int32), 'end_char': array([106], dtype=int32)}}",1
"Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.",oxaliplatinum,carcinoma,0,0
Celiac disease onset after pegylated interferon and ribavirin treatment of chronic hepatitis C.,ribavirin,hepatitis,0,0
A 61-year-old man with early diffuse cutaneous scleroderma with myositis and progressive interstitial pneumonia developed generalized erythema with high fever 3 weeks after taking sulfamethoxazole/trimethoprim.,trimethoprim,scleroderma,0,0
"BACKGROUND: Methotrexate (MTX) may induce liver damage, which in some psoriatics will lead to fibrosis or cirrhosis.",MTX,fibrosis,"{'drug': {'start_char': array([26], dtype=int32), 'end_char': array([29], dtype=int32)}, 'effect': {'start_char': array([94], dtype=int32), 'end_char': array([102], dtype=int32)}}",1
"In this report we described a case of juvenile idiopathic arthritis patient who developed thymic enlargement (true thymic hyperplasia), mediastinal lymphadenopathy and pleurisy associated with systemic symptoms under Etanercept treatment.",Etanercept,thymic enlargement,"{'drug': {'start_char': array([217], dtype=int32), 'end_char': array([227], dtype=int32)}, 'effect': {'start_char': array([90], dtype=int32), 'end_char': array([108], dtype=int32)}}",1
The patient developed occipital infarcts and was found to have extremely elevated levels of PPA in his blood and dialysis fluid.,PPA,extremely elevated levels of PPA,"{'drug': {'start_char': array([92], dtype=int32), 'end_char': array([95], dtype=int32)}, 'effect': {'start_char': array([63], dtype=int32), 'end_char': array([95], dtype=int32)}}",1
Refractory hypoglycemia from ciprofloxacin and glyburide interaction.,ciprofloxacin,interaction,0,0
"Rifampin can be associated with severe adverse effects such as hepatitis, acute renal failure, hemolytic anemia, and thrombocytopenia.",Rifampin,hepatitis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([8], dtype=int32)}, 'effect': {'start_char': array([63], dtype=int32), 'end_char': array([72], dtype=int32)}}",1
One patient had MRI T2 abnormalities compatible with cyclosporin neurotoxicity.,cyclosporin,neurotoxicity,"{'drug': {'start_char': array([53], dtype=int32), 'end_char': array([64], dtype=int32)}, 'effect': {'start_char': array([65], dtype=int32), 'end_char': array([78], dtype=int32)}}",1
"The current report describes a man who was prescribed zonisamide for epilepsy and subsequently developed widespread skin rash, acute kidney injury, high-grade fever, eosinophilia, liver dysfunction, lymphadenopathy and an increase in antihuman herpesvirus-6 immunoglobulin G titer.",immunoglobulin,fever,0,0
Are nasal decongestants safer than rhinitis? A case of oxymetazoline-induced syncope.,oxymetazoline,syncope,"{'drug': {'start_char': array([55], dtype=int32), 'end_char': array([68], dtype=int32)}, 'effect': {'start_char': array([77], dtype=int32), 'end_char': array([84], dtype=int32)}}",1
"A patient is described with the characteristic features of phenytoin hypersensitivity syndrome (PHS) including fever, erythroderma, tibial and facial oedema, pinhead-sized facial pustules and abnormal liver function tests.",phenytoin,abnormal liver function tests,"{'drug': {'start_char': array([59], dtype=int32), 'end_char': array([68], dtype=int32)}, 'effect': {'start_char': array([192], dtype=int32), 'end_char': array([221], dtype=int32)}}",1
The hearing impairment and tinnitus were gradually reduced after PTU withdrawal and corticosteroid and azathioprine treatment.,azathioprine,tinnitus,0,0
Severe heparin associated thrombocytopenia is a rare complication of heparin therapy.,heparin,thrombocytopenia,"{'drug': {'start_char': array([ 7, 69], dtype=int32), 'end_char': array([14, 76], dtype=int32)}, 'effect': {'start_char': array([26], dtype=int32), 'end_char': array([42], dtype=int32)}}",1
"A 64 year old man with recurrent metastatic squamous cell carcinoma of the head and neck developed severe skin rash and bone marrow aplasia 4 and 7 days, respectively, following a single dose of 40 mg/m2 methotrexate (MTX).",MTX,bone marrow aplasia,"{'drug': {'start_char': array([218], dtype=int32), 'end_char': array([221], dtype=int32)}, 'effect': {'start_char': array([120], dtype=int32), 'end_char': array([139], dtype=int32)}}",1
Patients with lymphoblastic lymphoma who had treatment with L-asparaginase and steroid are predisposed to the development of cortical venous thrombosis and may have this syndrome in addition to a dural puncture headache.,steroid,headache,0,0
"We report a patient with type 2 diabetes mellitus who, while treated with the antitumor necrosis factor-alpha blocking agent etanercept for severe plaque psoriasis, experienced persistent hypoglycemia requiring the lowering and eventual elimination of his previous insulin regimen.",insulin,psoriasis,0,0
